Subject,CondNumber,corr_resp,Stimulus.ACC,Stimulus.RESP,Stimulus.RT,target,preview1,preview3
1,1,1,1,1,1039,++R++,+++++,+++++
1,6,5,0,1,1030,++E++,+++++,++a++
1,10,5,1,5,1202,RRARR,+++++,++r++
1,16,5,1,5,699,RRERR,++r++,++r++
1,12,5,1,5,576,++A++,++e++,++e++
1,9,5,1,5,806,EEAEE,+++++,++e++
1,8,1,1,1,603,RRRRR,+++++,++r++
1,5,5,1,5,983,++A++,+++++,++a++
1,1,1,1,1,1002,++N++,+++++,+++++
1,13,5,1,5,955,++E++,++n++,++n++
1,7,1,1,1,719,++N++,+++++,++e++
1,1,5,1,5,819,++A++,+++++,+++++
1,1,5,1,5,559,++E++,+++++,+++++
1,1,5,1,5,432,++E++,+++++,+++++
1,2,1,1,1,541,NNNNN,+++++,+++++
1,4,5,1,5,779,NNENN,+++++,+++++
1,1,1,1,1,559,++N++,+++++,+++++
1,1,1,1,1,579,++R++,+++++,+++++
1,8,5,1,5,487,EEEEE,+++++,++e++
1,4,1,1,1,629,EEREE,+++++,+++++
1,3,1,1,1,759,NNRNN,+++++,+++++
1,13,1,1,1,652,++R++,++e++,++e++
1,13,5,1,5,473,++A++,++r++,++r++
1,4,5,1,5,844,RRARR,+++++,+++++
1,16,1,1,1,592,EENEE,++e++,++e++
1,10,1,1,1,747,AANAA,+++++,++a++
1,6,1,1,1,812,++R++,+++++,++n++
1,8,1,1,1,555,NNNNN,+++++,++n++
1,1,1,1,1,1592,++R++,+++++,+++++
1,7,5,1,5,532,++A++,+++++,++n++
1,4,1,1,1,764,EENEE,+++++,+++++
1,1,5,1,5,724,++A++,+++++,+++++
1,12,5,1,5,901,++E++,++a++,++a++
1,3,5,1,5,652,AAEAA,+++++,+++++
1,11,1,1,1,627,++N++,++n++,++n++
1,15,1,1,1,685,RRNRR,++r++,++r++
1,3,1,1,1,925,RRNRR,+++++,+++++
1,8,5,1,5,591,AAAAA,+++++,++a++
1,5,5,1,5,1162,++E++,+++++,++e++
1,9,1,1,1,593,RRNRR,+++++,++r++
1,14,1,1,1,542,RRRRR,++r++,++r++
1,10,5,1,5,833,NNENN,+++++,++n++
1,7,1,1,1,842,++R++,+++++,++e++
1,13,1,1,1,823,++N++,++e++,++e++
1,1,5,1,5,1252,++E++,+++++,+++++
1,13,1,1,1,697,++N++,++a++,++a++
1,14,5,1,5,412,EEEEE,++e++,++e++
1,1,1,1,1,1075,++N++,+++++,+++++
1,14,5,1,5,396,AAAAA,++a++,++a++
1,7,5,1,5,889,++E++,+++++,++r++
1,13,1,1,1,532,++R++,++a++,++a++
1,11,5,1,5,390,++A++,++a++,++a++
1,11,1,1,1,754,++R++,++r++,++r++
1,1,5,1,5,822,++A++,+++++,+++++
1,1,1,1,1,546,++R++,+++++,+++++
1,15,5,1,5,834,EEAEE,++e++,++e++
1,4,1,1,1,695,AARAA,+++++,+++++
1,7,1,1,1,1609,++R++,+++++,++a++
1,13,5,1,5,631,++A++,++n++,++n++
1,12,1,1,1,773,++R++,++n++,++n++
1,2,1,1,1,684,RRRRR,+++++,+++++
1,7,1,1,1,645,++N++,+++++,++a++
1,10,1,1,1,827,EENEE,+++++,++e++
1,15,5,1,5,573,AAEAA,++a++,++a++
1,16,1,1,1,395,AARAA,++a++,++a++
1,11,5,1,5,578,++E++,++e++,++e++
1,2,5,1,5,499,EEEEE,+++++,+++++
1,7,5,0,1,564,++E++,+++++,++n++
1,6,5,1,5,796,++A++,+++++,++e++
1,5,1,1,1,639,++R++,+++++,++r++
1,10,5,1,5,574,RRERR,+++++,++r++
1,7,5,0,1,702,++A++,+++++,++r++
1,1,5,1,5,533,++A++,+++++,+++++
1,1,1,1,1,740,++N++,+++++,+++++
1,10,5,1,5,495,NNANN,+++++,++n++
1,4,1,1,1,627,AANAA,+++++,+++++
1,15,1,1,1,655,NNRNN,++n++,++n++
1,1,5,1,5,759,++E++,+++++,+++++
1,9,5,1,5,592,AAEAA,+++++,++a++
1,10,1,1,1,682,EEREE,+++++,++e++
1,16,1,1,1,451,AANAA,++a++,++a++
1,4,5,1,5,523,NNANN,+++++,+++++
1,10,1,1,1,856,AARAA,+++++,++a++
1,16,1,1,1,699,EEREE,++e++,++e++
1,14,1,1,1,687,NNNNN,++n++,++n++
1,12,1,1,1,960,++N++,++r++,++r++
1,2,5,1,5,578,AAAAA,+++++,+++++
1,5,1,1,1,743,++N++,+++++,++n++
1,3,5,1,5,500,EEAEE,+++++,+++++
1,4,5,1,5,1091,RRERR,+++++,+++++
1,9,1,1,1,716,NNRNN,+++++,++n++
1,6,1,1,1,845,++N++,+++++,++r++
1,16,5,1,5,619,RRARR,++r++,++r++
1,16,5,1,5,567,NNENN,++n++,++n++
1,16,5,1,5,622,NNANN,++n++,++n++
1,13,5,1,5,619,++E++,++r++,++r++
1,16,5,1,5,753,NNENN,++n++,++n++
1,4,5,1,5,1117,NNENN,+++++,+++++
1,1,1,1,1,1089,++R++,+++++,+++++
1,16,5,1,5,598,NNANN,++n++,++n++
1,4,1,1,1,549,EEREE,+++++,+++++
1,2,5,1,5,665,EEEEE,+++++,+++++
1,3,5,1,5,751,AAEAA,+++++,+++++
1,2,1,1,1,630,NNNNN,+++++,+++++
1,12,5,1,5,515,++E++,++a++,++a++
1,10,1,1,1,712,AARAA,+++++,++a++
1,11,1,1,1,809,++R++,++r++,++r++
1,14,1,1,1,571,RRRRR,++r++,++r++
1,11,5,1,5,667,++E++,++e++,++e++
1,4,5,1,5,733,RRERR,+++++,+++++
1,16,1,1,1,655,EENEE,++e++,++e++
1,10,1,1,1,1062,EEREE,+++++,++e++
1,7,5,1,5,602,++A++,+++++,++n++
1,5,1,1,1,849,++N++,+++++,++n++
1,7,5,1,5,505,++E++,+++++,++n++
1,13,5,1,5,561,++A++,++r++,++r++
1,5,5,1,5,496,++A++,+++++,++a++
1,15,5,0,1,419,AAEAA,++a++,++a++
1,13,1,1,1,638,++N++,++e++,++e++
1,7,5,1,5,580,++E++,+++++,++r++
1,11,5,1,5,628,++A++,++a++,++a++
1,2,1,1,1,798,RRRRR,+++++,+++++
1,9,5,1,5,718,AAEAA,+++++,++a++
1,10,1,1,1,702,AANAA,+++++,++a++
1,13,5,1,5,545,++A++,++n++,++n++
1,8,1,1,1,690,NNNNN,+++++,++n++
1,14,1,1,1,541,NNNNN,++n++,++n++
1,4,5,1,5,613,NNANN,+++++,+++++
1,7,1,1,1,850,++R++,+++++,++e++
1,4,1,1,1,607,AARAA,+++++,+++++
1,4,1,1,1,730,AANAA,+++++,+++++
1,7,1,1,1,997,++R++,+++++,++a++
1,4,5,1,5,642,RRARR,+++++,+++++
1,1,1,1,1,611,++R++,+++++,+++++
1,2,5,1,5,610,AAAAA,+++++,+++++
1,1,5,1,5,681,++E++,+++++,+++++
1,6,1,1,1,431,++N++,+++++,++r++
1,12,1,1,1,604,++R++,++n++,++n++
1,1,5,1,5,1021,++A++,+++++,+++++
1,8,5,1,5,648,AAAAA,+++++,++a++
1,16,5,1,5,810,RRERR,++r++,++r++
1,14,5,1,5,681,AAAAA,++a++,++a++
1,3,1,1,1,688,RRNRR,+++++,+++++
1,1,1,1,1,872,++R++,+++++,+++++
1,7,1,1,1,681,++N++,+++++,++a++
1,12,5,1,5,541,++A++,++e++,++e++
1,6,5,1,5,511,++A++,+++++,++e++
1,1,5,1,5,1204,++E++,+++++,+++++
1,6,1,1,1,491,++R++,+++++,++n++
1,13,1,1,1,484,++R++,++e++,++e++
1,12,1,1,1,469,++N++,++r++,++r++
1,13,1,1,1,637,++N++,++a++,++a++
1,7,1,1,1,823,++N++,+++++,++e++
