"subject","group","hostname","word","list_type","list_length","class","rating","old_new","acc","credit","lab"
100,"old","cMAPLab-Behav","promenade","semantic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","gutter","semantic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","housecoat","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","biologist","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","triplicate","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","nip","phonetic",8,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","clown","semantic",8,"target",1,"new",0,"n","n"
100,"old","cMAPLab-Behav","gun","phonetic",8,"target",4,"old",1,"n","n"
100,"old","cMAPLab-Behav","thesaurus","semantic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","bat","phonetic",2,"target",3,"new",0,"n","n"
100,"old","cMAPLab-Behav","priceless","semantic",2,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","insanity","semantic",8,"target",2,"new",0,"n","n"
100,"old","cMAPLab-Behav","sweating","semantic",8,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","tip","phonetic",8,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","loon","phonetic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","late","phonetic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","joy","phonetic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","dire","phonetic",8,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","bettor","semantic",8,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","wood","phonetic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","gloomy","semantic",8,"related",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","mire","phonetic",8,"critical",3,"new",1,"n","n"
100,"old","cMAPLab-Behav","bur","phonetic",0,"lure",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","loud","phonetic",0,"lure",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","mammoth","semantic",2,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","fake","phonetic",2,"related",5,"old",0,"n","n"
100,"old","cMAPLab-Behav","teas","phonetic",8,"related",2,"new",1,"n","n"
100,"old","cMAPLab-Behav","diamond","semantic",2,"critical",1,"new",1,"n","n"
100,"old","cMAPLab-Behav","mummies","semantic",2,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","lip","phonetic",8,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","mole","phonetic",8,"target",6,"old",1,"n","n"
100,"old","cMAPLab-Behav","joker","semantic",8,"target",6,"old",1,"n","n"
